Date,Close,Open,High,Low,Volume,Change
2011-08-12,5320.03,5162.83,5320.03,5099.31,1020000000.0,0.0294
2011-08-15,5350.58,5320.03,5377.23,5319.38,695640000.0,0.005699999999999999
2011-08-16,5357.63,5350.58,5362.15,5265.83,716380000.0,0.0013
2011-08-17,5331.6,5357.63,5371.08,5279.93,671940000.0,-0.0049
2011-08-18,5092.23,5331.6,5331.6,5041.59,1180000000.0,-0.0449
2011-08-19,5040.76,5092.23,5107.91,4929.55,1550000000.0,-0.0101
2011-08-22,5095.3,5040.76,5182.98,4993.34,857260000.0,0.0108
2011-08-23,5129.42,5095.3,5193.17,5076.74,904650000.0,0.0067
2011-08-24,5205.85,5129.42,5250.59,5098.14,908820000.0,0.0149
2011-08-25,5131.1,5205.85,5254.17,5102.06,1130000000.0,-0.0144
2011-08-26,5129.92,5131.1,5149.51,5014.79,1040000000.0,-0.0002
2011-08-30,5268.66,5129.92,5283.6,5129.92,910280000.0,0.027000000000000003
2011-08-31,5394.53,5268.66,5411.6,5258.62,1180000000.0,0.0239
2011-09-01,5418.65,5394.53,5449.67,5346.7,975360000.0,0.0045000000000000005
2011-09-02,5292.03,5418.65,5418.65,5258.5,823930000.0,-0.023399999999999997
2011-09-05,5102.58,5292.03,5292.03,5097.71,788820000.0,-0.0358
2011-09-06,5156.84,5102.58,5190.27,5086.79,946080000.0,0.0106
2011-09-07,5318.59,5156.84,5322.21,5156.84,837910000.0,0.031400000000000004
2011-09-08,5340.38,5318.59,5369.82,5269.7,922650000.0,0.0040999999999999995
2011-09-09,5214.65,5340.38,5352.03,5202.24,1050000000.0,-0.0235
2011-09-12,5129.62,5214.65,5214.65,5059.22,1010000000.0,-0.0163
2011-09-13,5174.25,5129.62,5203.07,5069.52,885950000.0,0.0087
2011-09-14,5227.02,5174.25,5270.42,5146.39,1120000000.0,0.0102
2011-09-15,5337.54,5227.02,5366.74,5227.02,1120000000.0,0.021099999999999997
2011-09-16,5368.41,5337.54,5406.1,5337.54,1460000000.0,0.0058
2011-09-19,5259.56,5368.41,5368.41,5231.62,721390000.0,-0.0203
2011-09-20,5363.71,5259.56,5377.39,5219.09,708690000.0,0.019799999999999998
2011-09-21,5288.41,5363.71,5366.09,5268.82,770540000.0,-0.013999999999999999
2011-09-22,5041.61,5288.41,5288.41,5013.55,1190000000.0,-0.0467
2011-09-23,5066.81,5041.61,5105.38,4928.14,1010000000.0,0.005
2011-09-26,5089.37,5066.81,5148.81,4974.03,1040000000.0,0.0045000000000000005
2011-09-27,5294.05,5089.37,5294.05,5089.37,960710000.0,0.04019999999999999
2011-09-28,5217.63,5294.05,5314.29,5191.36,726670000.0,-0.0144
2011-09-29,5196.84,5217.63,5250.18,5160.77,736900000.0,-0.004
2011-09-30,5128.48,5196.84,5197.33,5068.63,889500000.0,-0.0132
2011-10-03,5075.5,5128.48,5128.48,4983.28,774950000.0,-0.0103
2011-10-04,4944.44,5075.5,5075.5,4868.6,1170000000.0,-0.0258
2011-10-05,5102.17,4944.44,5121.4,4944.44,932390000.0,0.0319
2011-10-06,5291.26,5102.17,5291.26,5102.17,1150000000.0,0.0371
2011-10-07,5303.4,5291.26,5370.89,5261.43,864880000.0,0.0023
2011-10-10,5399.0,5303.4,5413.43,5303.4,611580000.0,0.018000000000000002
2011-10-11,5395.7,5399.0,5399.0,5330.42,636000000.0,-0.0006
2011-10-12,5441.8,5395.7,5458.02,5348.16,833340000.0,0.0085
2011-10-13,5403.38,5441.8,5456.09,5368.37,895900000.0,-0.0070999999999999995
2011-10-14,5466.36,5403.38,5501.39,5395.57,673340000.0,0.011699999999999999
2011-10-17,5436.7,5466.36,5543.72,5405.2,720600000.0,-0.0054
2011-10-18,5410.35,5436.7,5436.7,5348.64,754540000.0,-0.0048
2011-10-19,5450.49,5410.35,5483.79,5410.35,723010000.0,0.0074
2011-10-20,5384.68,5450.49,5450.49,5363.16,796890000.0,-0.0121
2011-10-21,5488.65,5384.68,5500.54,5384.68,730200000.0,0.019299999999999998
2011-10-24,5548.06,5488.65,5552.79,5487.21,677460000.0,0.0108
2011-10-25,5525.54,5548.06,5574.13,5465.52,777720000.0,-0.0040999999999999995
2011-10-26,5553.24,5525.54,5576.63,5498.51,705180000.0,0.005
2011-10-27,5713.82,5553.24,5747.33,5553.24,1450000000.0,0.028900000000000002
2011-10-28,5702.24,5713.82,5746.88,5684.95,997000000.0,-0.002
2011-10-31,5544.22,5702.24,5702.24,5544.22,1080000000.0,-0.0277
2011-11-01,5421.57,5544.22,5544.22,5338.36,1330000000.0,-0.022099999999999998
2011-11-02,5484.1,5421.57,5493.29,5383.37,1360000000.0,0.0115
2011-11-03,5545.64,5484.1,5564.54,5402.63,1220000000.0,0.011200000000000002
2011-11-04,5527.16,5545.64,5599.46,5495.38,873170000.0,-0.0033
2011-11-07,5510.82,5527.16,5557.76,5432.16,730610000.0,-0.003
2011-11-08,5567.34,5510.82,5616.0,5509.57,885000000.0,0.0103
2011-11-09,5460.38,5567.34,5615.84,5426.25,1070000000.0000001,-0.0192
2011-11-10,5444.82,5460.38,5497.2,5360.19,799970000.0,-0.0028000000000000004
